source	target	value
Stanford U	U of Amsterdam	1
Stanford U	Lucile Packard Children's Hospital	24
Stanford U	U of California San Francisco	1
Stanford U	Stanford U	72
Stanford U	U of California - San Francisco	1
U of Connecticut	Arizona State U	1
U of Connecticut	U of Kentucky	3
U of Connecticut	UMass Boston	1
U of Connecticut	North Dakota State U	1
U of Connecticut	Cleveland State U	6
U of Connecticut	Northwestern U	1
U of Connecticut	East Carolina U	2
U of Connecticut	U of Tennessee	1
U of Connecticut	Western Michigan U	1
U of Connecticut	Denver Health	2
U of Connecticut	U of Arizona	4
U of Connecticut	U of Connecticut	118
U of Connecticut	Cornell U	1
U of Connecticut	U of Iowa	1
Chinese U of Hong Kong	Johns Hopkins U	1
Chinese U of Hong Kong	The Chinese U of Hong Kong	5
Chinese U of Hong Kong	Chinese U of Hong Kong	8
Chinese U of Hong Kong	Sun Yat-sen U	1
U of Salzburg	U of Salzburg	4
U of Nevada Las Vegas	U of Nevada Las Vegas	3
U de San Andrs	U de San Andrs	1
Northern Illinois U	Northern Illinois U	3
Wuerzburg U	Chemnitz U of Technology	5
Wuerzburg U	U of Alabama	3
Wuerzburg U	U of Wuerzburg	1
Wuerzburg U	Wuerzburg U	3
Wuerzburg U	U of Wurzburg	1
UC Santa Barbara	U of San Diego	1
UC Santa Barbara	U of Illinois at Urbana–Champaign	2
UC Santa Barbara	UC Santa Barbara	3
UC Santa Barbara	U of California - Santa Barbara	2
National Institute of Advanced Industrial Science and Technology	National Institute of Advanced Industrial Science and Technology	1
National Institute of Advanced Industrial Science and Technology	Rissho U	1
National Institute of Advanced Industrial Science and Technology	the Graduate U for Advanced Studies	1
National Institute of Advanced Industrial Science and Technology	National Institute of Informatics Japan	1
U of Bremen/ U of Goldsmiths	U of Bremen	1
U of Bremen/ U of Goldsmiths	U of Bremen/ U of Goldsmiths	2
Department of Communication	Hebrew U of Jerusalem	2
Department of Communication	U of Malaga	2
Department of Communication	Department of Communication	3
Cancer Council Victoria	U of Melbourne	1
Cancer Council Victoria	The Cancer Council Victoria	2
Cancer Council Victoria	Cancer Council Victoria	1
U of Alcala	U of Alcala	4
Renmin U of China	Renmin U of China	4
Florida Maxima	U of Central Florida	12
Florida Maxima	Florida Maxima	8
Tilburg U	Carnegie Mellon U	1
Tilburg U	George Mason U	1
Tilburg U	Erasmus U Rotterdam	1
Tilburg U	Radboud U	1
Tilburg U	Eindhoven U of Technology	1
Tilburg U	Tilburg U	55
Tilburg U	MIT Center for Collective Intelligence	3
U of Houston	Villanova U	3
U of Houston	U of Tennessee	3
U of Houston	Communica PR Consulting	1
U of Houston	Porter Novelli	1
U of Houston	Arkansas State U	2
U of Houston	Wayne State U	4
U of Houston	U of Houston	11
Communica PR Consulting	U of Houston	1
Communica PR Consulting	Villanova U	1
Communica PR Consulting	Porter Novelli	1
Communica PR Consulting	Communica PR Consulting	1
U of Massachusetts	St Cloud State U	2
U of Massachusetts	Dartmouth College	2
U of Massachusetts	U of Massachusetts - Amherst	1
U of Massachusetts	U of Massachusetts	5
U of Sheffield	U of Sheffield	2
MIT Center for Collective Intelligence	Tilburg U	3
MIT Center for Collective Intelligence	Carnegie Mellon U	3
MIT Center for Collective Intelligence	MIT Center for Collective Intelligence	9
Technische Universtitaet Chemnitz	Technische Universtitaet Chemnitz	1
U of Alberta	U of Alberta	1
Spelman College	U of Georgia	13
Spelman College	Emory U	9
Spelman College	Morehouse U	3
Spelman College	Spelman College	3
Jacobs U - Bremen	Jacobs U - Bremen	2
California State U - Long Beach	Michigan State U	4
California State U - Long Beach	Fors Marsh Group	1
California State U - Long Beach	U of Arizona	1
California State U - Long Beach	California State U - Long Beach	2
King Juan Carlos U	Fairfield U	1
King Juan Carlos U	King Juan Carlos U	1
Missouri School of Journalism	U of Missouri	2
Missouri School of Journalism	Missouri School of Journalism	1
Missouri School of Journalism	American U	1
Missouri School of Journalism	Missouri	1
Sheffield Hallam U	Sheffield Hallam U	4
Sheffield Hallam U	U of Liverpool	2
U of Missouri School of Journalism	U of Missouri School of Journalism	2
U of Missouri School of Journalism	U of Missouri	1
U of Putra Malaysia	U of Putra Malaysia	1
U of Putra Malaysia	U Putra Malaysia	2
Bradley U	U of Missouri	8
Bradley U	Bradley U	4
Bradley U	Nanyang Technological U	1
California State U - Monterrey Bay	Pennsylvania State U	1
California State U - Monterrey Bay	California State U - Monterrey Bay	1
California State U - Monterrey Bay	Louisiana State U	3
Mid Sweden U	U of Gothenburg	3
Mid Sweden U	Mid Sweden U	10
Mid Sweden U	U of Southern Denmark	1
U of Illinois at Chicago	U of Illinois at Chicago	1
U of Wurzburg	Chemnitz U of Technology	3
U of Wurzburg	Wuerzburg U	1
U of Wurzburg	U of Wurzburg	1
Arizona State U	Arizona State U	46
Arizona State U	Marquette U	2
Arizona State U	National U of Singapore	1
Arizona State U	U of Texas-Pan American	1
Arizona State U	U of Wisconsin-Whitewater	1
Arizona State U	Creighton U	2
Arizona State U	Texas State U	1
Arizona State U	U of Connecticut	1
Arizona State U	A. T. Still U	12
Arizona State U	U of Montreal	2
Arizona State U	DePaul U	1
Arizona State U	Ohio	1
Arizona State U	Pepperdine U	1
Arizona State U	Central Connecticut State U	1
Arizona State U	U of Cincinnati	1
Arizona State U	U of California Santa Barbara	1
Arizona State U	Purdue U	1
Arizona State U	U of Florida	1
Arizona State U	U of Arizona	2
Arizona State U	U of Iowa	1
Arizona State U	The U of Oklahoma	1
Arizona State U	U of Oklahoma	11
Florida Institute of Technology	Florida Institute of Technology	4
Institute d'Etudes Politiques de Toulouse	Institute d'Etudes Politiques de Toulouse	1
Northwestern	Northwestern	3
Northwestern	Northwestern U	7
Northwestern	U of Wisconsin-Madison	1
U of Technology Dresden	Technical U of Dresden	1
U of Technology Dresden	Ohio State U	1
U of Technology Dresden	U of Technology Dresden	1
U of Technology Dresden	Technical U - Dresden	1
Coastal Carolina U	Coastal Carolina U	2
U of Twente / GW / CW	U of Twente	2
U of Twente / GW / CW	London School of Economics and Political Science	1
U of Twente / GW / CW	U of Twente / GW / CW	3
U of Twente / GW / CW	U of Oxford	1
Sam Houston State U	Sam Houston State U	2
Sam Houston State U	Pennsylvania State U	1
U Muenster	Ruhr U Bochum	1
U Muenster	U Muenster	1
U Muenster	Virginia Tech	1
UCLA	U of Illinois at Urbana-Champai	1
UCLA	UCLA	1
U of Wyoming	U of Wyoming	12
U of Wyoming	Albion College	1
U of Wyoming	UMass Boston	1
U of Wyoming	JiangHuai Magazine	1
U of Wyoming	Iowa State U	1
U of Macao	U of Macau	1
U of Macao	U of Macao	1
U of Wisconsin at Madison	U of Wisconsin-Madison	1
U of Wisconsin at Madison	U of Wisconsin at Madison	2
Oklahoma State U-Tulsa	Southern Methodist U	1
Oklahoma State U-Tulsa	Oklahoma State U-Tulsa	1
Inha U	Chungbuk National U	1
Inha U	Ohio State U	1
Inha U	Inha U	1
Western Kentucky U	Western Kentucky U	2
Western Kentucky U	Purdue U	4
Western Kentucky U	Penn State U	5
Western Kentucky U	Utah State U	1
Swinburne U	Swinburne U	1
Swinburne U	U of Neuchatel - Academy of Journalism and Media	1
U Mainz	U of Mainz	3
U Mainz	U Mainz	1
U of Nevada Reno	U of Nevada Reno	5
Hans Bredow Institute for Media Research	Hans Bredow Institute for Media Research	6
Hans Bredow Institute for Media Research	U of Antwerp	2
Hans Bredow Institute for Media Research	Hans-Bredow-Institut	1
Hans Bredow Institute for Media Research	U of Copenhagen	1
Boston College	U of Georgia	2
Boston College	Boston College	20
Boston College	Tufts U School of Medicine	6
U of Nebraska-Lincoln	Robert Morris U	4
U of Nebraska-Lincoln	U of Nebraska-Lincoln	16
U of Pennsylvania	U of California - Santa Barbara	2
U of Pennsylvania	U of Southern California - Annenberg School for Communication	4
U of Pennsylvania	Temple U	2
U of Pennsylvania	Kyung Hee U	1
U of Pennsylvania	SUNY IT	2
U of Pennsylvania	U of Rochester	1
U of Pennsylvania	Yeungnam U	1
U of Pennsylvania	U of San Francisco	2
U of Pennsylvania	Boston U	1
U of Pennsylvania	U of Michigan	36
U of Pennsylvania	U of Pennsylvania	215
U of Pennsylvania	Vanderbilt U	3
U of Pennsylvania	Indiana U	2
U of Pennsylvania	Multimedia U	1
U of Pennsylvania	Emerson College	5
U of Pennsylvania	U at Buffalo - SUNY	2
U of Pennsylvania	Massachusetts General Hospital	5
U of Pennsylvania	Yonsei U	4
U of Pennsylvania	George Washington U	2
U of Pennsylvania	U of California at Santa Barbara (UCSB)	1
U of Pennsylvania	Seoul Institute	1
U of Pennsylvania	Northeastern U	5
U of Pennsylvania	The U of Michigan	2
U of Pennsylvania	U of Illinois at Urbana–Champaign	6
U of Pennsylvania	School of Information	2
U of Pennsylvania	U of North Carolina - Charlotte	2
U of Pennsylvania	The Annenberg School for Communication U of Pennsylvania	1
U of Pennsylvania	Johns Hopkins U	2
U of Pennsylvania	Annenberg School for Communication U of Pennsylvania	10
U of Pennsylvania	U of California Los Angeles	16
U of Pennsylvania	U of Arizona	3
Johannes Gutenberg U Mainz	U of Mainz	2
Johannes Gutenberg U Mainz	Johannes Gutenberg U Mainz	1
U of Freiburg	LMU Munich	1
U of Freiburg	U of Fribourg	1
U of Freiburg	U of Bielefeld	1
U of Freiburg	U of Music Drama and Media (Department of Journalism and Communication Research)	1
U of Freiburg	U of Freiburg	2
BCCP - Bangladesh Center for Communication Programs	Bangladesh Center for Communication Programs - BCCP	1
BCCP - Bangladesh Center for Communication Programs	Bangladesh Center for Communication Programs	1
BCCP - Bangladesh Center for Communication Programs	BCCP - Bangladesh Center for Communication Programs	1
U Federal de Santa Catarina	U Nacional de la Matanza	1
U Federal de Santa Catarina	U Iberoamericana	1
U Federal de Santa Catarina	Instituto de Altos Estudios Nacionales	1
U Federal de Santa Catarina	U de la Habana	2
U Federal de Santa Catarina	U Federal de Santa Catarina	1
U Federal de Santa Catarina	U of Santiago	1
U of Mannheim/U of Amsterdam	U Mannheim	2
U of Mannheim/U of Amsterdam	U of Mannheim/U of Amsterdam	2
U of Mannheim/U of Amsterdam	U of Mannheim	4
Georgia Institute of Technology	Georgia Tech	2
Georgia Institute of Technology	Georgia Institute of Technology	1
Georgia Institute of Technology	UNCW	1
IE U	IE U	1
Warsaw U	Warsaw U	1
Warsaw U	Bournemouth U	1
Warsaw U	SciencesCom - Audencia Group	1
The Pennsylvania State U	California Lutheran U	2
The Pennsylvania State U	U of San Francisco	2
The Pennsylvania State U	Penn State	1
The Pennsylvania State U	Pennsylvania State U	4
The Pennsylvania State U	The Pennsylvania State U	7
The Pennsylvania State U	Pennsylvania State U  and  Sungkyunkwan Univ	1
U of Alabama - Birmingham	Michigan State U	4
U of Alabama - Birmingham	U of Alabama - Birmingham	1
Lehigh U	Lehigh U	2
U of California - Berkeley	U of California - Berkeley	1
Loyola U Chicago	Loyola U Chicago	1
Fairfield U	Fairfield U	9
Fairfield U	U of Waikato	1
Fairfield U	U of Massachusetts - Amherst	1
Fairfield U	California State U - Fullerton	1
Fairfield U	King Juan Carlos U	1
Fairfield U	Central China Normal U	1
A. T. Still U	Arizona State U	12
A. T. Still U	A. T. Still U	8
U of Erfurt	U of Texas	1
U of Erfurt	U of Bielefeld	1
U of Erfurt	Knowledge Media Research Center	2
U of Erfurt	U della Svizzera italian	1
U of Erfurt	U of Erfurt	30
U of Erfurt	LMU Munich	1
U of Erfurt	U of Bremen Centre for Media Communication and Information Research (ZeMKI)	1
U of Erfurt	U of Mannheim	3
U of Erfurt	Nanyang Technological U	2
U of Erfurt	U of Texas - Austin	2
U of Erfurt	U of Mainz	4
U of Erfurt	U of Tuebingen	4
U Lusófona	Lusofona U	4
U Lusófona	U Lusófona	3
U Lusófona	CICANT-ULHT	1
U Lusófona	Hebrew U - Mt. Scopus	1
U Lusófona	College of Management Academic Studies	1
U Lusófona	Ben-Gurion U of the Negev	1
Radboud Universiteit Nijmegen	Radboud U Nijmegen	1
Radboud Universiteit Nijmegen	Radboud Universiteit Nijmegen	2
Radboud Universiteit Nijmegen	Radboud U	2
Radboud Universiteit Nijmegen	ASCoR U of Amsterdam	1
Radboud Universiteit Nijmegen	NHTV Breda U of Applied Sciences	1
Trent U	U of Tampere	2
Trent U	Trent U	2
Yale U	Yale U	4
Yale U	U of Massachusetts Amherst	1
Yale U	Massey U	2
Yale U	Utah State U	2
Yale U	George Mason U	6
Ohio	Arizona State U	1
Ohio	U of Texas-Pan American	1
Ohio	U of Wisconsin-Whitewater	1
Ohio	Central Connecticut State U	1
Ohio	U of Cincinnati	1
Ohio	Purdue U	11
Ohio	DePaul U	1
Ohio	National U of Singapore	1
Ohio	Ohio	3
Pepperdine U	Arizona State U	1
Pepperdine U	Pepperdine U	1
Pepperdine U	U of Oklahoma	2
Hampshire College	Hampshire College	1
Diálogo Digital	Diálogo Digital	1
U of Southern California	U of Maryland - College Park	1
U of Southern California	Microsoft Research	2
U of Southern California	U of Southern California	65
U of Southern California	California State U Channel Islands	2
U of Southern California	George Mason U	1
U of Southern California	U of Southern California - Annenberg School for Communication	23
U of Southern California	Rensselaer Polytechnic Institute	5
U of Southern California	USC Annenberg	2
U of Southern California	U of Missouri	1
U of Southern California	Northwestern U	3
U of Southern California	Syracuse U	5
U of Southern California	San Diego State U	2
U of Southern California	Midlands Technical College	1
U of Southern California	U of South Carolina	3
U of Southern California	Georgetown U	1
U of Southern California	U of Haifa	1
U of Southern California	Tsinghua U	1
U of Southern California	U of Oklahoma	1
U of Westminster	U of Westminster	3
U of Westminster	New York U	1
U of Jena	LMU Munich	4
U of Jena	U of Jena	3
Universiteit Antwerpen	Universiteit Antwerpen	1
Universiteit Antwerpen	U of Antwerp	1
U of Southampton	U of Southampton	1
U of Southampton	U of Amsterdam	1
U of Southampton	U of Antwerp	1
U of Southampton	U of Mannheim	1
U of Southampton	Aarhus U	1
U of Southampton	U of Barcelona	1
U of Southampton	U of Geneva	2
U of Southampton	U of North Carolina - Chapel Hill	1
U of Leeds	U of Leeds	6
Royal Roads U	Royal Roads U	1
The Annenberg School for Communication/ The U of Pennsylvania	The Annenberg School for Communication/ The U of Pennsylvania	1
Georgia Tech	Georgia Tech	4
Georgia Tech	Georgia Institute of Technology	2
Georgia Tech	UNCW	2
Instituto de Altos Estudios Nacionales	U Nacional de la Matanza	1
Instituto de Altos Estudios Nacionales	U Iberoamericana	1
Instituto de Altos Estudios Nacionales	Instituto de Altos Estudios Nacionales	1
Instituto de Altos Estudios Nacionales	U de la Habana	2
Instituto de Altos Estudios Nacionales	U Federal de Santa Catarina	1
Instituto de Altos Estudios Nacionales	U of Santiago	1
The U of Scranton	The U of Scranton	1
The U of Scranton	U of Scranton	1
U of California - Davis	U of California - Davis	14
U of California - Davis	U of California Davis	2
Southern Illinois U - Edwardsville	Southern Illinois U - Edwardsville	2
U of Muenster	European Communication Research and Education Association	1
U of Muenster	U of Muenster	27
U of Muenster	U of Cologne	2
U of Muenster	Westfaelische Wilhelms-Universitaet Muenster	1
U of Muenster	The U of Munster	2
Ohio State U	Texas Tech U	8
Ohio State U	North Central College	1
Ohio State U	Minnesota State U Mankato	1
Ohio State U	Quinnipiac U	3
Ohio State U	Northwestern U	1
Ohio State U	The Ohio State U	15
Ohio State U	Technical U of Dresden	2
Ohio State U	Asbury U	1
Ohio State U	Inha U	1
Ohio State U	Beijing Foreign Studies U	1
Ohio State U	U of Illinois	1
Ohio State U	U of Haifa	1
Ohio State U	U of Minnesota	1
Ohio State U	Louisiana State U	2
Ohio State U	Tel Aviv U	1
Ohio State U	Chungbuk National U	1
Ohio State U	Klein Buendel Inc.	4
Ohio State U	U of Maine	1
Ohio State U	Cleveland State U	2
Ohio State U	Michigan State U	2
Ohio State U	San Diego State U	1
Ohio State U	U of Hawaii at Manoa	1
Ohio State U	Wayne State U	2
Ohio State U	U of Dayton	1
Ohio State U	U of Leuven - School for Mass Communication Research	4
Ohio State U	U at Albany	1
Ohio State U	U of Cincinnati	1
Ohio State U	VU U	7
Ohio State U	U of Florida	6
Ohio State U	Ohio State U	208
Ohio State U	U of Technology Dresden	1
Ohio State U	Technical U - Dresden	5
U of Geneva	U of Southampton	2
U of Geneva	U of Amsterdam	2
U of Geneva	U of Antwerp	2
U of Geneva	U of Mannheim	2
U of Geneva	Aarhus U	2
U of Geneva	U of Barcelona	2
U of Geneva	U of Geneva	4
U of Geneva	U of North Carolina - Chapel Hill	2
Mindful Change	Mindful Change	1
U at Albany - SUNY	Georgia State U	1
U at Albany - SUNY	Temple U	1
U at Albany - SUNY	Syracuse U	1
U at Albany - SUNY	U at Albany SUNY	1
U at Albany - SUNY	Colorado State U	4
U at Albany - SUNY	U of Arizona	1
U at Albany - SUNY	1st Playable Productions	1
U at Albany - SUNY	U at Albany - SUNY	3
Sodertorn U	Sodertorn U	14
Sodertorn U	U of Wisconsin-Milwaukee	1
North Central College	Ohio State U	1
North Central College	North Central College	2
North Central College	U of Wisconsin-Milwaukee	2
Utrecht U/ Tilburg U	U of Amsterdam / ASCoR	2
Utrecht U/ Tilburg U	VU U Amsterdam	1
Utrecht U/ Tilburg U	Utrecht U/ Tilburg U	2
Utrecht U/ Tilburg U	U of Amsterdam	1
Utrecht U/ Tilburg U	Utrecht U	2
U of Southern California - Annenberg School for Communication	Portland State U	2
U of Southern California - Annenberg School for Communication	Microsoft Research	1
U of Southern California - Annenberg School for Communication	U of Southern California	23
U of Southern California - Annenberg School for Communication	Community Health Councils	6
U of Southern California - Annenberg School for Communication	U of Pennsylvania	4
U of Southern California - Annenberg School for Communication	U of Southern California - Annenberg School for Communication	96
U of Southern California - Annenberg School for Communication	Peru Ministry for Development and Social Inclusion	1
U of Southern California - Annenberg School for Communication	USC Annenberg	1
U of Southern California - Annenberg School for Communication	Northwestern U	1
U of Southern California - Annenberg School for Communication	Michigan State U	1
U of Southern California - Annenberg School for Communication	San Diego State U	2
U of Southern California - Annenberg School for Communication	U of California San Francisco	1
U of Southern California - Annenberg School for Communication	Nanyang Technological U	1
U of Southern California - Annenberg School for Communication	U of Georgia	1
U of Southern California - Annenberg School for Communication	U of California - San Francisco	1
U of Southern California - Annenberg School for Communication	California State U Channel Islands	2
Amsterdam Medical Centre U of Amsterdam	U of Amsterdam / ASCoR	1
Amsterdam Medical Centre U of Amsterdam	Academic Medical Center U of Amsterdam	2
Amsterdam Medical Centre U of Amsterdam	ASCoR U of Amsterdam	2
Amsterdam Medical Centre U of Amsterdam	Amsterdam Medical Centre U of Amsterdam	1
Loyola U Maryland	Baruch College - CUNY	1
Loyola U Maryland	Loyola U Maryland	5
Loyola U Maryland	Towson U	2
Loyola U Maryland	Arcode Corporation	1
Loyola U Maryland	U of Miami	1
U of North Carolina Chapel Hill	U of North Carolina Chapel Hill	3
U of North Carolina Chapel Hill	U of North Carolina - Chapel Hill	3
Media Science	The College of New Jersey	1
Media Science	Media Science	1
Media Science	Murdoch U	2
Media Science	RMIT U	1
U of Navarra / Intermedia Social Innovation	CES Villanueva	1
U of Navarra / Intermedia Social Innovation	U of Navarra / Intermedia Social Innovation	1
U of Navarra / Intermedia Social Innovation	U Autonoma de Madrid	1
U of Navarra / Intermedia Social Innovation	U of Murcia	1
U of Jyvskyl	U of Jyvskyl	1
Radboud U	Maastricht U	1
Radboud U	ASCoR U of Amsterdam	2
Radboud U	Erasmus U Rotterdam	1
Radboud U	U of Amsterdam	4
Radboud U	Radboud U Nijmegen	6
Radboud U	Radboud Universiteit Nijmegen	2
Radboud U	Radboud U	11
Radboud U	VU U Amsterdam	7
Radboud U	Tilburg U	1
Radboud U	Northeastern U	1
Radboud U	NHTV Breda U of Applied Sciences	2
Macalester College	Macalester College	4
the Graduate U for Advanced Studies	National Institute of Advanced Industrial Science and Technology	1
the Graduate U for Advanced Studies	Rissho U	1
the Graduate U for Advanced Studies	the Graduate U for Advanced Studies	1
the Graduate U for Advanced Studies	National Institute of Informatics Japan	1
Elon U	Elon U	2
U of Dayton	U of Dayton	1
U of Dayton	Ohio State U	1
U of North Carolina at Chapel Hill	U of Michigan Psychology Dept.	1
U of North Carolina at Chapel Hill	U of North Carolina - Chapel Hill	5
U of North Carolina at Chapel Hill	U of North Carolina at Chapel Hill	3
Oakland U	Oakland U	1
Oklahoma State U	Oklahoma State U	1
American U of Central Asia	American U of Central Asia	4
U of Texas-Pan American	Arizona State U	1
U of Texas-Pan American	U of Texas-Pan American	2
U of Texas-Pan American	U of Wisconsin-Whitewater	1
U of Texas-Pan American	Central Connecticut State U	1
U of Texas-Pan American	U of Cincinnati	1
U of Texas-Pan American	Purdue U	1
U of Texas-Pan American	DePaul U	1
U of Texas-Pan American	National U of Singapore	1
U of Texas-Pan American	Ohio	1
U of Texas-Pan American	U of Alabama	2
U of Hohenheim	U of Hohenheim	54
