source,target,weight
U of Illinois,Northwestern U,1
U of Illinois,U of  Mannheim,2
U of Illinois,Stanford U,2
U of Illinois,U of Illinois,45
U of Illinois,Ohio State U,1
U of Illinois,U of Pittsburgh,2
U of Illinois,Cornell U,1
U of Haifa,U of Texas,1
U of Haifa,U of Southern California,1
U of Haifa,Penn State U,1
U of Haifa,Tel Aviv U,1
U of Haifa,Augsburg U,1
U of Haifa,U of Amsterdam,2
U of Haifa,Gordon Teachers College,1
U of Haifa,Michigan State U,2
U of Haifa,Washington State U,1
U of Haifa,Ohio State U,1
U of Haifa,Pennsylvania State U,3
U of Haifa,U of Haifa,40
1st Playable Productions,SUNY,2
1st Playable Productions,Temple U,1
1st Playable Productions,Syracuse U,1
1st Playable Productions,Colorado State U,4
1st Playable Productions,U of Arizona,1
1st Playable Productions,1st Playable Productions,1
Lehigh U,Lehigh U,2
National Research U High School of Economics,Central Michigan U,1
National Research U High School of Economics,National Research U High School of Economics,1
National Research U High School of Economics,Quinnipiac U,1
National Research U High School of Economics,George Mason U,1
Vanderbilt U,U of North Carolina,1
Vanderbilt U,U of Pennsylvania,3
Vanderbilt U,Vanderbilt U,16
Vanderbilt U,Joan Ganz Cooney Center at Sesame Workshop,4
Vanderbilt U,U of Kansas,2
Vanderbilt U,U of Arizona,1
Texas State U,U of Texas,6
Texas State U,U.S. Outcomes Research Merk  and  Co. Inc.,1
Texas State U,George Mason U,8
Texas State U,Arizona State U,1
Texas State U,The Chinese U of Hong Kong,3
Texas State U,UT Austin,1
Texas State U,San Diego State U,1
Texas State U,The U of Texas at Austin,1
Texas State U,Texas State U,31
The U of Virginia - Wise,Northwood U,1
The U of Virginia - Wise,The U of Virginia - Wise,1
Stanford U,U of California,3
Stanford U,Dana-Farber Cancer Institute and Harvard School of Public Health,1
Stanford U,U of Amsterdam,1
Stanford U,Lucile Packard Children's Hospital,24
Stanford U,Stanford U,75
Stanford U,U of Illinois,2
Stanford U,Cornell U,1
Stanford U,U of Chicago,2
Stanford U,U of Pittsburgh,2
U of Connecticut,Arizona State U,1
U of Connecticut,U of Kentucky,3
U of Connecticut,UMass Boston,1
U of Connecticut,North Dakota State U,1
U of Connecticut,Cleveland State U,6
U of Connecticut,Northwestern U,1
U of Connecticut,East Carolina U,2
U of Connecticut,U of Tennessee,1
U of Connecticut,Western Michigan U,1
U of Connecticut,Denver Health,2
U of Connecticut,U of Arizona,4
U of Connecticut,U of Connecticut,118
U of Connecticut,Cornell U,1
U of Connecticut,U of Iowa,1
Chinese U of Hong Kong,Johns Hopkins U,1
Chinese U of Hong Kong,The Chinese U of Hong Kong,5
Chinese U of Hong Kong,Chinese U of Hong Kong,8
Chinese U of Hong Kong,Sun Yat-sen U,1
U of Salzburg,U of Salzburg,4
U of Nevada Las Vegas,U of Nevada Las Vegas,3
U de San Andrs,U de San Andrs,1
Northern Illinois U,Northern Illinois U,3
Wuerzburg U,Chemnitz U of Technology,5
Wuerzburg U,U of Alabama,3
Wuerzburg U,Wuerzburg U,3
Wuerzburg U,U of Wurzburg,2
UC Santa Barbara,U of San Diego,1
UC Santa Barbara,U of Illinois at UrbanaChampaign,2
UC Santa Barbara,UC Santa Barbara,3
UC Santa Barbara,U of California,2
National Institute of Advanced Industrial Science and Technology,National Institute of Advanced Industrial Science and Technology,1
National Institute of Advanced Industrial Science and Technology,Rissho U,1
National Institute of Advanced Industrial Science and Technology,the Graduate U for Advanced Studies,1
National Institute of Advanced Industrial Science and Technology,National Institute of Informatics Japan,1
Department of Communication,Hebrew U of Jerusalem,2
Department of Communication,U of Malaga,2
Department of Communication,Department of Communication,3
Cancer Council Victoria,U of Melbourne,1
Cancer Council Victoria,The Cancer Council Victoria,2
Cancer Council Victoria,Cancer Council Victoria,1
U of Alcala,U of Alcala,4
Renmin U of China,Renmin U of China,4
Florida Maxima,U of Central Florida,12
Florida Maxima,Florida Maxima,8
Tilburg U,George Mason U,1
Tilburg U,Erasmus U Rotterdam,1
Tilburg U,Radboud U Nijmegen,1
Tilburg U,Carnegie Mellon U,1
Tilburg U,Eindhoven U of Technology,1
Tilburg U,Tilburg U,55
Tilburg U,MIT,3
U of Houston,Villanova U,3
U of Houston,U of Tennessee,3
U of Houston,Communica PR Consulting,1
U of Houston,Porter Novelli,1
U of Houston,Arkansas State U,2
U of Houston,Wayne State U,4
U of Houston,U of Houston,14
Pennsylvania State U,U of California,1
Pennsylvania State U,Robert Morris U,1
Pennsylvania State U,Augsburg U,3
Pennsylvania State U,California State U,1
Pennsylvania State U,U of San Francisco,2
Pennsylvania State U,U of Haifa,3
Pennsylvania State U,Louisiana State U,3
Pennsylvania State U,U of Duisburg,4
Pennsylvania State U,Towson U,2
Pennsylvania State U,U of Duesseldorf,1
Pennsylvania State U,Western Michigan U,2
Pennsylvania State U,U of South Carolina,1
Pennsylvania State U,U of Georgia,3
Pennsylvania State U,Pennsylvania State U,113
Pennsylvania State U,Penn State U,14
Pennsylvania State U,The Pennsylvania State U,5
Pennsylvania State U,LMU Munich,2
Pennsylvania State U,Sam Houston State U,1
Pennsylvania State U,Michigan State U,1
Pennsylvania State U,St. Norbert College,1
Pennsylvania State U,U of Alabama,1
Pennsylvania State U,Florida State U,1
Pennsylvania State U,U Duisburg-Essen,1
Pennsylvania State U,Washington State U,3
Pennsylvania State U,U of Iowa,2
U of Sheffield,U of Sheffield,2
Technische Universtitaet Chemnitz,Technische Universtitaet Chemnitz,1
U of Alberta,U of Alberta,1
Spelman College,U of Georgia,13
Spelman College,Emory U,9
Spelman College,Morehouse U,3
Spelman College,Spelman College,3
King Juan Carlos U,Fairfield U,1
King Juan Carlos U,King Juan Carlos U,1
Sheffield Hallam U,Sheffield Hallam U,4
Sheffield Hallam U,U of Liverpool,2
U Catolica de la Santisima Concepcion,U Catolica de la Santisima Concepcion,1
U Catolica de la Santisima Concepcion,U of Quebec in Montreal (UQAM),1
U of Putra Malaysia,U of Putra Malaysia,1
U of Putra Malaysia,U Putra Malaysia,2
Bradley U,U of Missouri,8
Bradley U,Bradley U,4
Bradley U,Nanyang Technological U,1
Sogang U,U of Kansas,5
Sogang U,Sogang U,2
Sogang U,Bowling Green State U,2
Mid Sweden U,U of Gothenburg,3
Mid Sweden U,Mid Sweden U,10
Mid Sweden U,U of Southern Denmark,1
U of Wurzburg,Chemnitz U of Technology,3
U of Wurzburg,U of Alabama,3
U of Wurzburg,Wuerzburg U,2
U of Wurzburg,U of Wurzburg,6
Arizona State U,U of California,1
Arizona State U,Arizona State U,46
Arizona State U,Marquette U,2
Arizona State U,National U of Singapore,1
Arizona State U,Creighton U,2
Arizona State U,Texas State U,1
Arizona State U,U of Connecticut,1
Arizona State U,U of Texas,1
Arizona State U,A. T. Still U,12
Arizona State U,U of Montreal,2
Arizona State U,U of Wisconsin,1
Arizona State U,DePaul U,1
Arizona State U,Pepperdine U,1
Arizona State U,Central Connecticut State U,1
Arizona State U,U of Cincinnati,1
Arizona State U,Purdue U,1
Arizona State U,Ohio U,1
Arizona State U,U of Florida,1
Arizona State U,U of Arizona,2
Arizona State U,U of Iowa,1
Arizona State U,The U of Oklahoma,1
Arizona State U,U of Oklahoma,11
Florida Institute of Technology,Florida Institute of Technology,4
Institute d'Etudes Politiques de Toulouse,Institute d'Etudes Politiques de Toulouse,1
UW Madison,UW Madison,1
U of Technology Dresden,Technical U of Dresden,1
U of Technology Dresden,Ohio State U,1
U of Technology Dresden,U of Technology Dresden,1
U of Technology Dresden,Technical U - Dresden,1
Coastal Carolina U,Coastal Carolina U,2
Instituto de Altos Estudios Nacionales,U Nacional de la Matanza,1
Instituto de Altos Estudios Nacionales,U Iberoamericana,1
Instituto de Altos Estudios Nacionales,Instituto de Altos Estudios Nacionales,1
Instituto de Altos Estudios Nacionales,U de la Habana,2
Instituto de Altos Estudios Nacionales,U Federal de Santa Catarina,1
Instituto de Altos Estudios Nacionales,U of Santiago,1
Sam Houston State U,Sam Houston State U,2
Sam Houston State U,Pennsylvania State U,1
U Muenster,Ruhr U Bochum,1
U Muenster,U Muenster,1
U Muenster,Virginia Tech,1
UCLA,U of Illinois,1
UCLA,UCLA,1
U of Wyoming,U of Wyoming,12
U of Wyoming,Albion College,1
U of Wyoming,UMass Boston,1
U of Wyoming,JiangHuai Magazine,1
U of Wyoming,Iowa State U,1
U of Macao,U of Macau,1
U of Macao,U of Macao,1
Inha U,Chungbuk National U,1
Inha U,Ohio State U,1
Inha U,Inha U,1
Swinburne U,Swinburne U,11
Swinburne U,U of Neuchatel - Academy of Journalism and Media,1
U Mainz,U of Mainz,3
U Mainz,U Mainz,1
U of Teubingen,Knowledge Media Research Center,2
U of Teubingen,U of Tubingen,2
U of Teubingen,Leibniz-Institut fuer Wissensmedien,2
U of Teubingen,Augsburg U,1
U of Teubingen,U of Teubingen,4
Hans Bredow Institute for Media Research,Hans Bredow Institute for Media Research,6
Hans Bredow Institute for Media Research,U of Antwerp,2
Hans Bredow Institute for Media Research,Hans-Bredow-Institut,1
Hans Bredow Institute for Media Research,U of Copenhagen,1
Boston College,U of Georgia,2
Boston College,Boston College,20
Boston College,Tufts U School of Medicine,6
U of Nebraska-Lincoln,Robert Morris U,4
U of Nebraska-Lincoln,U of Nebraska-Lincoln,16
U of Pennsylvania,U of California,19
U of Pennsylvania,Temple U,2
U of Pennsylvania,Kyung Hee U,1
U of Pennsylvania,U of Rochester,1
U of Pennsylvania,Yeungnam U,1
U of Pennsylvania,U of San Francisco,2
U of Pennsylvania,Boston U,1
U of Pennsylvania,U of Michigan,36
U of Pennsylvania,U of Pennsylvania,259
U of Pennsylvania,Vanderbilt U,3
U of Pennsylvania,Multimedia U,1
U of Pennsylvania,Emerson College,5
U of Pennsylvania,Indiana U,2
U of Pennsylvania,Massachusetts General Hospital,5
U of Pennsylvania,Yonsei U,4
U of Pennsylvania,SUNY,4
U of Pennsylvania,George Washington U,2
U of Pennsylvania,The U of Michigan,2
U of Pennsylvania,U of Illinois at UrbanaChampaign,8
U of Pennsylvania,Seoul Institute,1
U of Pennsylvania,Northeastern U,5
U of Pennsylvania,U of Southern California,4
U of Pennsylvania,U of North Carolina,2
U of Pennsylvania,School of Information,2
U of Pennsylvania,Johns Hopkins U,2
U of Pennsylvania,U of Arizona,3
Johannes Gutenberg U Mainz,U of Mainz,2
Johannes Gutenberg U Mainz,Johannes Gutenberg U Mainz,1
U of Music Drama and Media (Department of Journalism and Communication Research),U of Bielefeld,1
U of Music Drama and Media (Department of Journalism and Communication Research),U of Music Drama and Media (Department of Journalism and Communication Research),1
U of Music Drama and Media (Department of Journalism and Communication Research),U of Freiburg,1
Jacobs U,LMU Munich,1
Jacobs U,Jacobs U,3
Jacobs U,U of Zurich,1
Jacobs U,U of Mannheim,2
Montclair State U,Syracuse U,2
Montclair State U,Montclair State U,2
Montclair State U,U of Oklahoma,2
Georgia Institute of Technology,Georgia Tech,2
Georgia Institute of Technology,Georgia Institute of Technology,1
Georgia Institute of Technology,UNCW,1
IE U,IE U,1
Warsaw U,Warsaw U,1
Warsaw U,Bournemouth U,1
Warsaw U,SciencesCom - Audencia Group,1
The Pennsylvania State U,Pennsylvania State U,5
The Pennsylvania State U,California Lutheran U,2
The Pennsylvania State U,The Pennsylvania State U,7
The Pennsylvania State U,U of San Francisco,2
The Pennsylvania State U,Penn State U,1
Loyola U Chicago,Loyola U Chicago,1
Fairfield U,Fairfield U,9
Fairfield U,U of Waikato,1
Fairfield U,California State U,1
Fairfield U,King Juan Carlos U,1
Fairfield U,Central China Normal U,1
Fairfield U,U of Massachusetts,1
A. T. Still U,Arizona State U,12
A. T. Still U,A. T. Still U,8
U of Erfurt,U of Texas,3
U of Erfurt,U of Bremen,1
U of Erfurt,U of Bielefeld,1
U of Erfurt,Knowledge Media Research Center,2
U of Erfurt,U della Svizzera italian,1
U of Erfurt,U of Erfurt,30
U of Erfurt,LMU Munich,1
U of Erfurt,U of Mannheim,3
U of Erfurt,Nanyang Technological U,2
U of Erfurt,U of Tubingen,4
U of Erfurt,U of Mainz,4
U Lusfona,Ben Gurion U of the Negev,1
U Lusfona,Lusofona U,4
U Lusfona,U Lusfona,3
U Lusfona,CICANT-ULHT,1
U Lusfona,Hebrew U - Mt. Scopus,1
U Lusfona,College of Management Academic Studies,1
U de la Habana,U Nacional de la Matanza,2
U de la Habana,U Iberoamericana,2
U de la Habana,Instituto de Altos Estudios Nacionales,2
U de la Habana,U de la Habana,4
U de la Habana,U Federal de Santa Catarina,2
U de la Habana,U of Santiago,2
Trent U,U of Tampere,2
Trent U,Trent U,2
Yale U,Yale U,4
Yale U,U of Massachusetts,1
Yale U,Massey U,2
Yale U,Utah State U,2
Yale U,George Mason U,6
Pepperdine U,Arizona State U,1
Pepperdine U,Pepperdine U,1
Pepperdine U,U of Oklahoma,2
Hampshire College,Hampshire College,1
Dilogo Digital,Dilogo Digital,1
U of Southern California,U of California,2
U of Southern California,USC Annenberg,3
U of Southern California,Northwestern U,4
U of Southern California,Peru Ministry for Development and Social Inclusion,1
U of Southern California,Tsinghua U,1
U of Southern California,U of Haifa,1
U of Southern California,U of Pennsylvania,4
U of Southern California,Rensselaer Polytechnic Institute,5
U of Southern California,U of South Carolina,3
U of Southern California,U of Georgia,1
U of Southern California,Georgetown U,1
U of Southern California,Portland State U,2
U of Southern California,U of Missouri,1
U of Southern California,Microsoft Research,3
U of Southern California,U of Maryland,1
U of Southern California,Syracuse U,5
U of Southern California,San Diego State U,4
U of Southern California,Nanyang Technological U,1
U of Southern California,California State U,4
U of Southern California,Michigan State U,1
U of Southern California,U of Southern California,207
U of Southern California,Community Health Councils,6
U of Southern California,George Mason U,1
U of Southern California,Midlands Technical College,1
U of Southern California,U of Oklahoma,1
U of Jena,LMU Munich,4
U of Jena,U of Jena,3
Nielsen Korea,Nielsen Korea,1
Nielsen Korea,Iowa State U,1
Nielsen Korea,Seoul National U,2
U of Technology Sydney,U of Technology Sydney,4
U of Southampton,U of North Carolina,1
U of Southampton,U of Southampton,1
U of Southampton,U of Amsterdam,1
U of Southampton,U of Antwerp,1
U of Southampton,U of Mannheim,1
U of Southampton,Aarhus U,1
U of Southampton,U of Barcelona,1
U of Southampton,U of Geneva,2
U of Leeds,U of Leeds,6
Georgia Tech,Georgia Tech,4
Georgia Tech,Georgia Institute of Technology,2
Georgia Tech,UNCW,2
Technische U Chemnitz,Tbingen U,2
Technische U Chemnitz,Technische U Chemnitz,5
Technische U Chemnitz,Humboldt U Berlin,1
Technische U Chemnitz,Technische Universitaet Chemnitz / HIIG,3
The U of Scranton,The U of Scranton,1
The U of Scranton,U of Scranton,1
U of Muenster,European Communication Research and Education Association,1
U of Muenster,U of Muenster,27
U of Muenster,U of Cologne,2
U of Muenster,Westfaelische Wilhelms-Universitaet Muenster,1
U of Muenster,The U of Munster,2
Ohio State U,North Central College,1
Ohio State U,Minnesota State U Mankato,1
Ohio State U,Quinnipiac U,3
Ohio State U,Northwestern U,1
Ohio State U,The Ohio State U,15
Ohio State U,Technical U of Dresden,2
Ohio State U,VU U Amsterdam,7
Ohio State U,Asbury U,1
Ohio State U,Inha U,1
Ohio State U,Beijing Foreign Studies U,1
Ohio State U,U of Illinois,1
Ohio State U,U of Haifa,1
Ohio State U,U of Minnesota,1
Ohio State U,Louisiana State U,2
Ohio State U,Tel Aviv U,1
Ohio State U,Chungbuk National U,1
Ohio State U,Klein Buendel Inc.,4
Ohio State U,U of Maine,1
Ohio State U,SUNY,1
Ohio State U,Cleveland State U,2
Ohio State U,Michigan State U,2
Ohio State U,San Diego State U,1
Ohio State U,U of Hawaii at Manoa,1
Ohio State U,Wayne State U,2
Ohio State U,U of Dayton,1
Ohio State U,U of Leuven,4
Ohio State U,Texas Tech,8
Ohio State U,U of Technology Dresden,1
Ohio State U,U of Cincinnati,1
Ohio State U,U of Florida,6
Ohio State U,Ohio State U,208
Ohio State U,Technical U - Dresden,5
Sodertorn U,Sodertorn U,14
Sodertorn U,U of Wisconsin,1
North Central College,U of Wisconsin,2
North Central College,North Central College,2
North Central College,Ohio State U,1
Indiana U of Pennsylvania,Indiana U Pennsylvania,2
Indiana U of Pennsylvania,Indiana U of Pennsylvania,5
Loyola U Maryland,Baruch College - CUNY,1
Loyola U Maryland,Loyola U Maryland,5
Loyola U Maryland,Towson U,2
Loyola U Maryland,Arcode Corporation,1
Loyola U Maryland,U of Miami,1
Media Science,The College of New Jersey,1
Media Science,Media Science,1
Media Science,Murdoch U,2
Media Science,RMIT U,1
U of Navarra / Intermedia Social Innovation,CES Villanueva,1
U of Navarra / Intermedia Social Innovation,U of Navarra / Intermedia Social Innovation,1
U of Navarra / Intermedia Social Innovation,U Autonoma de Madrid,1
U of Navarra / Intermedia Social Innovation,U of Murcia,1
U of Nevada Reno,U of Nevada Reno,5
the Graduate U for Advanced Studies,National Institute of Advanced Industrial Science and Technology,1
the Graduate U for Advanced Studies,Rissho U,1
the Graduate U for Advanced Studies,the Graduate U for Advanced Studies,1
the Graduate U for Advanced Studies,National Institute of Informatics Japan,1
Elon U,Elon U,2
U of Dayton,U of Dayton,1
U of Dayton,Ohio State U,1
Oakland U,Oakland U,1
Oklahoma State U,Oklahoma State U,2
Oklahoma State U,Southern Methodist U,1
U of Hohenheim,U of Hohenheim,54
U of Hohenheim,Deutsche Gesellschaft fur Publizistik,1
U of Hohenheim,Universitaet Hohenheim,1
Chungbuk National U,Chungbuk National U,1
Chungbuk National U,Ohio State U,1
Chungbuk National U,Inha U,1
RMIT U,The College of New Jersey,1
RMIT U,Media Science,1
RMIT U,Murdoch U,2
RMIT U,RMIT U,2
U Oberta Catalunya,U of California,1
U Oberta Catalunya,U Oberta Catalunya,1
U Oberta Catalunya,U of Hawaii at Manoa,1
U of Denver,U of Colorado,1
U of Denver,AIDS Help Inc.,1
U of Denver,Tulane U,1
U of Denver,Camp Rehoboth,1
U of Denver,Medical College of Wisconsin,1
U of Denver,U of Denver,14
U of Denver,George Washington U,1
U of Denver,Virginia Commonwealth U,3
U of Denver,NO/AIDS Task Force,2
Hebrew U and Ono Academic Colledge,Hebrew U of Jerusalem,2
Hebrew U and Ono Academic Colledge,Hebrew U and Ono Academic Colledge,3
Netanya Academic College,Hebrew U of Jerusalem,1
Netanya Academic College,Hebrew U,1
Netanya Academic College,Netanya Academic College,2
Winona State U,Winona State U,1
Macau U of Science  and  Technology,Macau U of Science  and  Technology,1
U of Central Florida,U of Central Florida,32
U of Central Florida,Georgia Regents U,1
U of Central Florida,Florida Maxima,12
Yonsei U,Howard U,1
Yonsei U,Yonsei U,26
Yonsei U,U of Wisconsin,2
Yonsei U,Purdue U,1
Yonsei U,U of Pennsylvania,4
California College of the Arts,California College of the Arts,1
Middlesex U,Middlesex U,2
U of South Florida,Trinity U,1
U of South Florida,U of South Florida,15
U of Leicester,U of Leicester,5
U of Leicester,Agency for Science Technology and Research,2
U of Leicester,Goldsmiths U of London,1
U of Leicester,U of the Philippines,2
U of Leicester,Goldsmiths College U of London,1
Illinois Institute of Technology,Illinois Institute of Technology,5
Indiana U East,Indiana U East,1
Indiana U East,Florida Southern College,1
U of  Mannheim,U Mannheim,2
U of  Mannheim,U of Illinois,2
U of  Mannheim,U of  Mannheim,2
Internet Interdisciplinary Institute UOC,Internet Interdisciplinary Institute UOC,1
Sun Yat-sen U,Sun Yat-sen U,3
Sun Yat-sen U,The Chinese U of Hong Kong,1
Sun Yat-sen U,Chinese U of Hong Kong,1
Sun Yat-sen U,Hong Kong Polytechnic U,1
Westfaelische Wilhelms-U Muenster,Westfaelische Wilhelms-U Muenster,2
Westfaelische Wilhelms-U Muenster,Westfaelische Wilhelms-Universitaet Muenster,4
U Ottawa,U Ottawa,2
Allegheny College,Allegheny College,2
Queens College - CUNY,Queens College - CUNY,1
Universidad Autnoma de Quertaro,U Autnoma del Estado de Morelos,1
Universidad Autnoma de Quertaro,Universidad Autnoma de Quertaro,1
Pomona College,Cornell U,1
Pomona College,Pomona College,1
Aalto U,Rutgers U,4
Aalto U,U of California,2
Aalto U,Aalto U,6
U of Santo Tomas,U of Santo Tomas,1
Universidad del Norte,U of Salamanca,1
Universidad del Norte,Universidad del Norte,1
Arcode Corporation,Loyola U Maryland,1
Arcode Corporation,Arcode Corporation,1
Aristotle U of Thessaloniki,U of Malaga,2
Aristotle U of Thessaloniki,Aristotle U of Thessaloniki,4
Aristotle U of Thessaloniki,U Rey Juan Carlos,2
Aristotle U of Thessaloniki,Democritus U of Thrace,2
U of East Anglia,U of East Anglia,1
U de Puerto Rico,U de Puerto Rico,4
U of Florida,U of California,2
U of Florida,Ohio State U,6
U of Florida,U of Tennessee,2
U of Florida,Arizona State U,1
U of Florida,Imperial College London,1
U of Florida,The Chinese U of Hong Kong,1
U of Florida,Syracuse U,4
U of Florida,Marist College,1
U of Florida,U of Florida,30
U of Florida,U of Arizona,4
U of Florida,Salem State U,1
U of Florida,The U of Oklahoma,1
U of Florida,Cornell U,2
U of Florida,U of Oklahoma,15
Sungkyunkwan U,Sungkyunkwan U,48
Sungkyunkwan U,Syracuse U,2
U of Iowa,Syracuse U,1
U of Iowa,U of Missouri,4
U of Iowa,Wake Forest U,2
U of Iowa,Hebrew U,1
U of Iowa,George Mason U,1
U of Iowa,U of California,1
U of Iowa,Arizona State U,1
U of Iowa,Miami U,1
U of Iowa,Michigan State U,4
U of Iowa,Iowa State U,1
U of Iowa,U of Connecticut,1
U of Iowa,U of Iowa,40
U of Iowa,Pennsylvania State U,2
Johannes Gutenberg U,LMU Munich,2
Johannes Gutenberg U,Johannes Gutenberg U,10
Johannes Gutenberg U,U of Vienna,2
Johannes Gutenberg U,U of Mainz,11
Johannes Gutenberg U,Augsburg U,1
Universidade de Sorocaba - SP (Brazil),Universidade de Sorocaba - SP (Brazil),1
Illinois State,Illinois State,1
Camp Rehoboth,U of Colorado,1
Camp Rehoboth,Tulane U,1
Camp Rehoboth,AIDS Help Inc.,1
Camp Rehoboth,Camp Rehoboth,1
Camp Rehoboth,Medical College of Wisconsin,1
Camp Rehoboth,U of Denver,1
Camp Rehoboth,Virginia Commonwealth U,3
Camp Rehoboth,NO/AIDS Task Force,2
U of California,U of California,206
U of California,Aalto U,2
U of California,Arizona State U,1
U of California,California Lutheran U,1
U of California,UC Santa Barbara,2
U of California,Saint Vincent College,2
U of California,U of Utah,3
U of California,U of Michigan,12
U of California,National Center for Ecological Analysis and Synthesis U of California,1
U of California,U of Pennsylvania,19
U of California,Miami U,1
U of California,New York U,1
U of California,U Oberta Catalunya,1
U of California,U of Georgia,2
U of California,Pennsylvania State U,1
U of California,U of Texas,5
U of California,SUNY,2
U of California,Rutgers U,1
U of California,Imperial College London,1
U of California,Stanford U,3
U of California,U of Hawaii at Manoa,1
U of California,Salem State U,1
U of California,U of Southern California,2
U of California,UC-Santa Barbara,2
U of California,U of Amsterdam,1
U of California,Copenhagen Business School,3
U of California,U of Florida,2
U of California,U of Arizona,5
U of California,U of Iowa,1
U of California,The U of Oklahoma,1
U of California,U of Oklahoma,26
U Autnoma de Baja California,U Autnoma de Baja California,9
Minnesota State U Mankato,The Ohio State U,1
Minnesota State U Mankato,U of Cincinnati,1
Minnesota State U Mankato,U of Minnesota,1
Minnesota State U Mankato,Ohio State U,1
Minnesota State U Mankato,Minnesota State U Mankato,1
U del Este,U del Este,2
U del Este,U of Puerto Rico Ro Piedras Campus,2
U del Este,Johannes Kepler U,1
U of Canberra,Deakin U,1
U of Canberra,U of Canberra,2
U of Canberra,U of Wollongong,1
Tsinghua U,Tsinghua U,2
Tsinghua U,U of Southern California,1
Bryant U,Bryant U,1
National Center for Ecological Analysis and Synthesis U of California,U of California,1
National Center for Ecological Analysis and Synthesis U of California,National Center for Ecological Analysis and Synthesis U of California,1
San Francisco State U,San Francisco State U,1
London School of Economics,London School of Economics,1
Towson U,Loyola U Maryland,2
Towson U,Florida International U,1
Towson U,Towson U,10
Towson U,St. Norbert College,2
Towson U,Claflin U,1
Towson U,Pennsylvania State U,2
U of Leipzig,U of Leipzig,4
U of KwaZulu-Natal,U of KwaZulu-Natal,1
Bellevue U,Bellevue U,2
Universidad del Este,Universidad del Este,1
U of Jyvaskyla,Jyvaskyla,3
U of Jyvaskyla,U of Jyvaskyla,11
Wellesley College,Wellesley College,9
Duquense U,Duquense U,9
Brigham Young U,Brigham Young U,84
Brigham Young U,Texas Tech,5
Brigham Young U,Linfield College,2
Brigham Young U,Midwestern U,3
Hankuk U of Foreign Studies,Hankuk U of Foreign Studies,1
Hankuk U of Foreign Studies,Ball State U,1
Hankuk U of Foreign Studies,Seoul National U,1
Bangkok U,Bangkok U,1
Bangkok U,Ohio U,1
Eindhoven U of Technology,Tilburg U,1
Eindhoven U of Technology,Eindhoven U of Technology,1
Queensland Health,Queensland Health,1
Queensland Health,U of Queensland,2
U of Lisbon,U of Lisbon,1
U of St.Gallen,Hohenheim U,1
U of St.Gallen,BI Norwegian Business School,1
U of St.Gallen,U of St.Gallen,1
U of St.Gallen,U of St. Gallen,1
State U of New York at Cortland,State U of New York at Cortland,2
State U of New York at Cortland,The U of Alabama,2
Microsoft Research,Microsoft Research,1
